Id,Prediction
0,4292890.696752365
1,4929363.530614348
2,2453134.7109080562
3,2610222.1308766203
4,2939810.5757205617
5,3483930.503713442
6,4988203.978509886
7,3258839.121807096
8,4033036.068441111
9,4887646.981515646
10,4552977.383052719
11,3055723.087226452
12,4224186.29452916
13,5558146.496917553
14,4583659.725215887
15,3282877.1477707555
16,6366183.309550081
17,3277492.1666631107
18,5457452.950320662
19,2881554.104355388
20,2453872.2295256336
21,4165993.439158425
22,4484434.819199777
23,3759029.5842020325
24,6823883.533955732
25,4116055.33765684
26,3154405.5064490465
27,4189590.2452106467
28,3468605.491282968
29,3975611.451743712
30,4574694.606520796
31,2383050.155572017
32,2746772.8775233016
33,4731660.437661466
34,2358346.859823585
35,4002618.9771611877
36,5762707.271228616
37,5112255.184669978
38,3443251.484716609
39,2772939.3348837662
40,3532917.7075780067
41,4275945.167765133
42,5140144.376242432
43,5194648.67907699
44,4490816.564728755
45,6844225.233399899
46,2704291.050157769
47,2234178.334595814
48,4209697.664317642
49,3871163.6678654724
50,2693177.429340371
51,2926424.1150192707
52,4365892.634148517
53,3070057.1064136513
54,2894490.711523449
55,4494912.557062541
56,5511396.549261494
57,4412899.701830342
58,3868351.85716495
59,4486424.997655631
60,4157191.7390813283
61,5108331.100093711
62,2496790.994748447
63,5274532.529208664
64,4520899.315058536
65,4272261.777442521
66,5813998.623561702
67,5996543.743812692
68,4695215.196295563
69,4018041.7553785397
70,3191383.455387291
71,2680404.817172442
72,3260887.757279185
73,3979820.403390093
74,6733152.5611670995
75,3478389.432677087
76,4012657.7026338596
77,4609216.779215515
78,4027027.065577592
79,4401481.769745167
80,4740501.778188726
81,3523830.308141334
82,3751833.006156597
83,3812111.2541737068
84,6090474.073008833
85,2114721.6564850844
86,4563656.333975473
87,5769574.122958734
88,4171333.177842708
89,2999419.678371112
90,7133899.617730601
91,5115338.447925415
92,3060402.6607909114
93,3584186.4172148034
94,4832329.103305153
95,2626822.715912833
96,5958055.446870666
97,6486181.697049009
98,3738754.668311381
99,4065966.408484874
100,3555867.2701366404
101,4026311.2523034173
102,3592796.5265002395
103,4296869.1469871905
104,3079330.189383896
105,3056462.39524203
106,5479777.802606217
107,3866897.55087772
108,4830625.404397881
109,4443413.147056762
110,4247567.153025042
111,3494341.8092201166
112,4816152.741536906
113,4241917.319913264
114,4928511.430276132
115,3974623.178827119
116,2659165.1770118447
117,3967818.4369819155
118,3697475.7199979154
119,5414911.268741884
120,4071937.333566314
121,4832550.762413059
122,3142846.714259622
123,6293582.160388444
124,2291678.7763729417
125,4646393.279891438
126,5721220.981429044
127,2656344.418601871
128,5402170.681504161
129,4511056.893435377
130,2915970.928363035
131,4948540.797943955
132,4264067.756074331
133,2938669.6343868026
134,3421212.4302107706
135,3088260.9676908157
136,4982802.067415727
137,3655468.128319499
138,3228542.794968387
139,4095254.7089073374
140,4751603.50373319
141,2394311.0251701027
142,4026691.166942176
143,3245342.799079019
144,4062712.081194477
145,3092911.8834521137
146,3208003.032009332
147,2756655.7233450892
148,4165163.8465905567
149,4649582.218383666
150,2672679.597769186
151,5166017.146935924
152,4245006.302326843
153,7322210.444348923
154,3432247.0624706903
155,6085234.861447365
156,4860975.133733018
157,2901464.7339594355
158,2999967.1860470716
159,4914893.915469635
160,3219775.882026994
161,3661384.9679583637
162,5087416.43307167
163,5279437.132973597
164,5380650.611961325
165,5115865.204664563
166,3483800.9975369056
167,2605112.0936780195
168,3425285.361682957
169,4831733.985252248
170,4504875.41397913
171,2902539.6340176775
172,2753306.4988536527
173,4122829.535583138
